YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
2006,NV,"Electric Generators, Electric Utilities",Petroleum,"17,347",,,,,,
2006,NV,"Combined Heat and Power, Industrial Power",Total,"345,365",,,,,,
2006,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"345,365",,,,,,
2006,NV,"Combined Heat and Power, Electric Power",Total,"2,281,996",,,,,,
2006,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,278,314",,,,,,
2006,NV,"Combined Heat and Power, Electric Power",Other Gases,"3,682",,,,,,
2006,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2007,NV,Total Electric Power Industry,Total,"32,669,736",,,,,,
2007,NV,Total Electric Power Industry,Coal,"7,090,911",,,,,,
2007,NV,Total Electric Power Industry,Geothermal,"1,252,691",,,,,,
2007,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,003,191",,,,,,
2007,NV,Total Electric Power Industry,Natural Gas,"22,263,270",,,,,,
2007,NV,Total Electric Power Industry,Other Gases,"4,256",,,,,,
2007,NV,Total Electric Power Industry,Petroleum,"11,450",,,,,,
2007,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"43,967",,,,,,
2007,NV,"Electric Generators, Independent Power Producers",Total,"7,623,648",,,,,,
2007,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,252,691",,,,,,
2007,NV,"Electric Generators, Independent Power Producers",Natural Gas,"6,326,990",,,,,,
2007,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2007,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"43,967",,,,,,
2007,NV,"Electric Generators, Electric Utilities",Total,"22,376,989",,,,,,
